name,description
Hydro Sport,"



		Product details
		



Herbal Essences Hello Hydration Shampoo For Dry HairSay 'hello' to a deep drenching of quenching hydration. Herbal Essences Hello Hydration deep moisturising shampoo and Hair Conditioner replenishes moisture to your thirsty tresses. Soak it up and flood your senses with coconut essences. Talk about beautifully moisturised locks. Use with Herbal Essences Hello Hydration Hair Conditioner.Key FeaturesHydrating shampoo for dry hair that helps replenish your hair's much needed moisture100% recyclable bottle (our cap not yet) depending on recycling facilitiesShampoo 0% colourants, 0% paraffinRecognised by Peta Org for our commitment to always stand for cruelty free




How to use
Simply apply shampoo generously to wet hair, massage into a creamy lather, enjoy the scent, and rinse. For more beautiful hair, use with Herbal Essences Hello Hydration Conditioner.


Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.


Important info
Country of origin: France


Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Glycol Distearate, Sodium Citrate, Cocamide MEA, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Dimethicone, Parfum, Sodium Chloride, Citric Acid, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Glycerin, Tetrasodium EDTA, Hexyl Cinnamal, Sodium Hydroxide, Benzyl Salicylate, Propylene Glycol, Limonene, Linalool, Magnesium Nitrate, Zea Mays Silk Extract, Orchis Mascula Flower Extract, Cocos Nucifera Fruit Extract, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone



...read more
...read less

"
Hydro Wild,"



		Product details
		



Key Features:

Cleanses & nourishes for bouncy defined curls
With Rosehip Oil & Curl Enhancing Technology
Suitable for wavy and curly (2A-4C) hair types
Sulphate Free*
Vegan Friendly**


No two curls are alike & they can be unpredictable from one day to the next. Bring out the best of your unique curls with our curl-loving frizz-defying formulas. 

Frizz Ease Dream Curls Shampoo, with Rosehip Oil and Curl Enhancing Technology, hydrates as it gently cleanses to help define your individual curls.   

Safe for colour-treated hair. 

Cleanses & nourishes for bouncy defined curls

For the most up to date ingredients list, please remember to always check the back of your pack.

*SLS/SLES
**with no ingredients of animal origin and no animal testing




How to use
Apply shampoo to wet hair. Massage into hair. Rinse well. 

Follow with Dream Curls Conditioner.


Ingredients
Aqua, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Decyl Glucoside, Coco-Glucoside, Glycol Distearate, Cocamide MEA, Parfum, Citric Acid, Hydroxypropyl Methylcellulose, Stearoxypropyl Dimethylamine, Guar Hydroxypropyltrimonium Chloride, Polyquaternium-7, Lactic Acid, Laureth-16, Propylene Glycol, Quaternium-80, Polyquaternium-10, Polyquaternium-52, Sodium Hydroxide, Sodium Chloride, Stearyl Alcohol, Rosa Canina Fruit Oil, BHT, Tocopherol, Sodium Benzoate, Methylchloroisothiazolinone, Methylisothiazolinone, Benzyl Salicylate, Linalool



...read more
...read less

"
Intents Anti-Dandruff,"



		Product details
		



At Aveeno, we understand that a healthy scalp is the foundation for beautiful hair.
Made with colloidal oats, known for their skin moisturising properties, and botanical ingredients, Aveeno Daily Moisture+ Oat Milk Shampoo gently cleanses and helps moisturise dry, damaged hair while soothing the scalp.
 
Created with both hair and scalp in mind, Aveeno haircare is clinically proven to help relieve itchy, dry scalps and reduce flakes without stripping hair of its natural oils, leaving it looking and feeling soft, shiny and healthy.
• For dry or damaged hair
• Gentle enough for daily use
• Clinically proven to relieve itchy scalp
• pH balanced formula
• Suitable for sensitive skin
• Sulfate-free surfactants 
For best results, use with Aveeno Oat Milk Blend Conditioner
 
Our effort for the planet:
Bottle made from 50% recycled plastic. Recyclable bottle & cap (check local sorting instructions). 




How to use
Apply shampoo generously to wet hair, massage into a lather through to ends, then rinse hair thoroughly. After shampooing, follow with Aveeno Daily Moisture+ Oat Milk Blend Conditioner for best results.


Hazards and Cautions
Warning: Use only as directed. Avoid contact with eyes. If contact occurs, rinse immediately. Keep away from children. For best results, use in conjunction with other Aveeno hair products.



Important info
Use only as directed. Avoid contact with eyes. If contact occurs rinse immediately. Keep away from children. For best results use in conjunction with other Aveeno hair products.
300ml
Bottle made from 50% recycled plastic. 
Recyclable bottle & cap (check local sorting instructions). 



Ingredients
Colloidal Oatmeal Extract, Aqua/Water/Eau, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Chloride, Hydrolyzed Milk Protein, Prunus Amygdalus Dulcis (Sweet Almond/Amande Douce) Seed Extract, PEG-7 Amodimethicone, Polyquaternium-22, Polyquaternium-39, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Laureth-4, PEG-150 Pentaerythrityl Tetrastearate, PPG-2 Hydroxyethyl Cocamide, Propylene Glycol, Glycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hexylene Glycol, Citric Acid, Sodium Citrate, Sodium Hydroxide, Sodium Benzoate, Formic Acid, Tocopheryl Acetate, Leuconostoc/Radish Root Ferment Filtrate, Coconut Acid, Disodium Tetrapropenyl Succinate, Parfum/Fragrance.




...read more
...read less

"
Intents Matt,"



		Product details
		



Aussie Mighty Mega Everyday Clarifying Vegan Shampoo 300ml

The daily  Aussie Shampoo that leaves hair soft, shiny and thicker. Love your Aussie Mega Shampoo, with Australian Blue Mountain Eucalyptus extract, it rinses clean to leave you with beautiful, shiny hair full of bounce.

Key Features



Shampoo for soft, shiny and thicker hair - Aussie has you covered
A Shampoo for bouncy hair that gives you soft, shiny and thicker hair
An everyday Shampoo with Australian Blue Mountain Eucalyptus extract
A is for Aussie… for Australia… for Authentic Ingredients and Ausome Aussie Attitude
Cruelty free, as certified by PETA
It was in Australia that our 3 Minute Miracle Deep Conditioning  Hair Treatment was invented and we are proud of our Aussie roots







How to use
Massage into wet hair whilst your flat mate exclaims 'What's that delicious smell?!'. Rinse out.



Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.



Important info
Country of origin: France



Ingredients
Aqua, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Citrate, Parfum, Sodium Chloride, Sodium Xylenesulfonate, Citric Acid, Sodium Benzoate, Tetrasodium EDTA, Sodium Hydroxide, Hexyl Cinnamal, Hydroxypropyl Methylcellulose, Linalool, Benzyl Salicylate, Limonene, Propylene Glycol, Magnesium Nitrate, Eucalyptus Dunnii Leaf Extract, Eucalyptus Acmenoides Leaf Extract, Methylchloroisothiazolinone, Magnesium Chloride, Glyoxal, DMDM Hydantoin, Methylisothiazolinone




...read more
...read less

"
Intents Nourish,"



		Product details
		



Plantur 39 Phyto-Caffeine Shampoo for fine, brittle hair: for hair over fortyWhat does Plantur 39 do?In collaboration with the Dermatology Department of the Jena University Clinic, Dr. Wolff Research has developed an active ingredient complex that protects the hair roots from premature exhaustion of hair growth: a phyto-caffeine complex.When should you begin using Plantur 39?You should begin no later than the onset of menopause. But even in your younger years, Plantur 39 can help protect the hair roots.This shampoo contains a small amount of hair conditioning agents to ensure that your hair style retains its volume.




"
Intents Out of Bed,"



		Product details
		



There’s something about thoroughly cleansed and hydrated hair that lets you take on the day with confidence. You can now get that style without having to visit a salon with Tresemme Replenish & Cleanse Shampoo and Conditioner system. Enriched with a vitamin complex that includes vitamins B3, B5, B7, C and E, Tresemme Replenish & Cleanse Shampoo for greasy hair is designed to gently purify and cleanse your hair and scalp with every wash. Its replenishing formula uses our PRO Style Technology, with amino acids and ceramides, to leave your hair strong and manageable with continuous use. To create the perfect canvas for any hairstyle, start your routine by applying a generous amount of Tresemme Replenish & Cleanse Shampoo to wet hair. Gently massage the scalp with your fingertips to work into a lather, then rinse thoroughly. Follow with Replenish & Cleanse Conditioner and style with your favourite Tresemme styling products as needed.
 
At Tresemme, we’ve always understood that style is more than a look: it’s a part of you. With our professional-quality care, a world of style possibilities is yours to achieve. Every choice we make at Tresemme, from the values we promote – such as not testing on animals and being PETA approved – to the stylists we work with, down to the carefully selected ingredients we use, are made with intention and inspired by the latest trends and style. Because 70 years on, we believe in the power of style. So tell your story, land that job, make your mark – and achieve your aspirations with confidence. With Tresemme, your style can match your ambition.

 
Key features:

• Tresemme Replenish & Cleanse Shampoo and Conditioner system gently purifies and cleanses hair, leaving it refreshed and revived
• Enriched with a vitamin complex, this professional-quality clarifying shampoo deeply cleanses and purifies hair in 1 wash, giving it that fresh, just-left-the-salon feeling
• Tresemme Replenish & Cleanse Shampoo for greasy hair features PRO Style Technology which works from the inside out to leave hair strong and manageable with continued use
• Our hair care experts are at the forefront of science and safety – every ingredient is carefully selected to ensure your hair receives the best possible care
• Apply Tresemme Replenish & Cleanse Shampoo from roots to ends, massage the scalp to lather gently, and then rinse thoroughly; follow with Replenish & Cleanse Conditioner to maximise results
• With Tresemme professional hair care products, you can create your personal style to achieve your aspirations with confidence




Ingredients
Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Parfum, Sodium Benzoate, Citric Acid, Polyquaternium-10, Disodium EDTA, Arginine, Lysine HCl, Panthenol, Niacinamide, Ascorbic Acid, Tocopheryl Acetate, Biotin, Ceramide NG, PPG-6, Sodium Hydroxide, Hexyl Cinnamal, Limonene, Linalool, CI 61570.




...read more
...read less

"
Intents Protect,"



		Product details
		




Freshly bleached hair looks bright and beautiful, but over time it can go brassy, leaving you with unwanted yellow tones that alter your blonde. Take control of your blonde and own your tone with the Lee Stafford Bleach Blondes Purple Toning Shampoo. A crucial colour corrector for bleached to natural blondes, this powerful purple toning shampoo contains violet pigment to knock out pesky yellow tones and brassiness to keep your hair looking bright, vibrant and salon fresh. 
Purple sits directly opposite yellow on the colour wheel. This means the purple pigment within our violet formulations helps to knock out unwanted brassiness, for a more balanced blonde. Use this shampoo whenever hair looks overly warm for a speedy colour refresh. 
A nourishing formula with Pro-Vitamin B5, Chamomile and Moringa Seed Extract (also known as the  'miracle tree') to encourage natural shine. Formulated specifically for bleached, balayaged, naturally light blonde or highlighted hair, you can team this shampoo with the Lee Stafford Purple Toning Conditioner for double the toning power, or use with the Everyday Care Conditioner for salon fresh blonde. 





Suitable for
Not suitable for children 



How to use
Massage evenly on wet hair. Leave on for 1-5 minutes depending on desired toning results



Hazards and Cautions
CAUTION: AVOID CONTACT WITH EYES. SHOULD THIS OCCUR RINSE IMMEDIATELY WITH CLEAN WATER. DUE TO THE DEEP COLOUR OF THIS PRODUCT IT MAY STAIN CLOTHING AND SURFACES.



Important info

Suitable for Vegans
x1 Lee Stafford Bleach Blondes Purple Toning Shampoo 250ml
Country of origin - UK




Active ingredients

Pro-Vitamin B5 - known to improve strength, shine and softness and helps hair lock in moisture. 
Purple Pigment - Colour balancing purple pigment to help brighten hair and refresh blonde tones. 
Moringa Seed Extract (aka) Miracle Tree - Encourages natural shine to truly glow





Ingredients
AQUA (WATER/EAU), SODIUM LAURETH SULFATE, COCAMIDOPROPYL BETAINE, DISODIUM LAURETH SULFOSUCCINATE, PEG-4
RAPESEEDAMIDE, SODIUM CHLORIDE, LAURETH-4, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, MORINGA OLEIFERA (HORSERADISH TREE) SEED EXTRACT, PANTHENOL, POLYQUATERNIUM-39, GLYCERIN, POLYSILICONE-19, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, DIPROPYLENE GLYCOL, ACRYLIC ACID/ACRYLAMIDOMETHYL PROPANE SULFONIC ACID COPOLYMER, PARFUM (FRAGRANCE), DISODIUM PHOSPHATE, CITRIC ACID, SODIUM HYDROXIDE, POTASSIUM SORBATE, PHENOXYETHANOL, SODIUM BENZOATE, ALPHA-ISOMETHYL IONONE, BENZYL SALICYLATE, DISPERSE VIOLET 1.




...read more
...read less

"
Intents Re-Mould,"



		Product details
		



NIOXIN 3-part System 5 Loyalty Kit for Chemically Treated Hair with Light ThinningAchieve fuller-looking and moisturised hair with the innovative Nioxin 3-part System 5 for Chemically Treated Hair with Light Thinning. This 3-part professional hair thickening treatment with SmoothPlex technology volumises and delivers smoothing control to hair while refreshing the scalp. Nioxin’s 3-part System reduces hair loss by strengthening resilience against damage and breakage. Moisturising 3-part System 5 treatment products for chemically treated hair are specially designed to provide thicker, fuller-looking hair vibrant with colour. Nioxin Cleanser Shampoo 5 (300ml): removes sebum and environmental residues from the scalp and hair. Nioxin Scalp Therapy Revitalising Conditioner 5 (300ml): a lightweight conditioner that helps provide hair resilience and control moisture balance. Nioxin Scalp & Hair Treatment 5 (100ml): refreshes the scalp and provides a healthy shine to your hair.




How to use
Cleanser: Gently massage a small amount into hair and scalp. Rinse well.
Scalp Therapy Revitalising Conditioner: Apply to scalp and through to mid-lengths and ends. Leave-in for 1 to 3 minutes. Rinse. Scalp & Hair Treatment: Shake well. Apply 5 - 10 pumps evenly to entire scalp and massage. Do not rinse. We recommend using your 3-Step System a minimum of 3 times a week, for optimal results use daily.


Hazards and Cautions
Treatment CAUTION: May cause temporary redness.


Ingredients
Shampoo:
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Citric Acid, Sodium Citrate, Sodium Xylenesulfonate, Cocamide MEA, Sodium Benzoate, Sodium Chloride, Salicylic Acid, Polysorbate 20, Propylene Glycol, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Menthol, Tetrasodium EDTA, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Methylparaben, Glycerin, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Guar Hydroxypropyltrimonium Chloride, Camellia Sinensis Leaf Extract, Hydrolyzed Silk, Tocopheryl Acetate, Biotin, Lecithin, Niacinamide, Panthenol, Aleurites Moluccana Seed Oil, Foeniculum Vulgare Fruit Extract, Faex Extract, Acer Saccharum Extract, Citrus Limon Peel Extract, Saccharum Officinarum Extract, Vaccinium Myrtillus Leaf Extract, Citrus Aurantium Dulcis Fruit Extract, Potassium Sorbate

Conditioner:
Aqua/Water/Eau, Stearyl Alcohol, Behentrimonium Chloride, Cetyl Alcohol, Isopropyl Alcohol, Benzyl Alcohol, Phenoxyethanol, Mentha Piperita (Peppermint) Oil, Mentha Arvensis Leaf Oil, Menthol, Propylene Glycol, Quaternium-80, Methylparaben, Propylparaben, EDTA, Limonene, Camellia Sinensis Leaf Extract, Polysorbate 20, Biotin, Lecithin, Niacinamide, Panthenol, Tocopheryl Acetate, Foeniculum Vulgare (Fennel) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Limon (Lemon) Peel Extract, Saccharum Officinarum/Sugar Cane Extract/Extrait de canne à sucre, Vaccinium Myrtillus Leaf Extract, Faex Extract/Yeast Extract/Extrait de levure, Hydrolyzed Silk, Citrus Aurantium Dulcis (Orange) Fruit Extract, Aleurites Moluccanus Seed Oil, Maltodextrin, Potassium Sorbate, Sodium Benzoate

Treament:
Aqua, Niacinamide, Caffeine, Phenoxyethanol, Sodium Benzoate, Benzyl Alcohol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Polysorbate 60, Polysorbate 80, Polysorbate 20, Acetamide MEA, Triethanolamine, PEG-23M, Tetrasodium EDTA, Propylene Glycol, Methyl Nicotinate, PEG-30 Dipolyhydroxystearate, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Menthol, Trideceth-6, Camellia Sinensis Leaf Extract, Hydrolyzed Silk, Silica, Biotin, Lecithin, Tocopheryl Acetate, Aleurites Moluccana Seed Oil, Foeniculum Vulgare Fruit Extract, Faex Extract, Acer Saccharum Extract, Citrus Limon Peel Extract, Saccharum Officinarum Extract, Vaccinium Myrtillus Leaf Extract, Citrus Aurantium Dulcis Fruit Extract, Potassium Sorbate



...read more
...read less

"
Intents Re-Style,"



		Product details
		



Revive and restore the look of your hair with Hask Argan Oil from Morocco Repairing Shampoo. Infused with moisturizing Argan Oil, this shampoo penetrates the hair shaft, gently cleansing while repairing damage and breakage. Leaves even the most rebellious hair frizz-free, silky-soft and super glossy. Ideal for dry, damaged or color-treated hair. Free of: sulfates, parabens, phthalates, gluten, alcohol and artificial colors.




How to use
Apply to wet hair. Massage into a lather, rinse thoroughly and repeat if desired. Ideal for daily use. For best results use the Hask Argan Oil system.



Hazards and Cautions
Avoid contact with eyes. If product gets into the eyes, rinse well with water immediately.



Important info
Key Benefits:Infused with argan oilStrengthens and restores hairRevives the look of hairGently softensLeaves hair with a frizz-free shineFree of: sulfates, parabens, phthalates, gluten, alcohol and artificial colors.


Ingredients
Aqua, Sodium C14-16 olefin sulfonate, Cocamide MEA, Sodium chloride, Cocamidopropyl betaine, Glycerin, Glycol distearate, Parfum, Argania spinosa kernel oil, Glycine soja (soybean) protein, Hydrolyzed corn protein, Hydrolyzed soy protein, Hydrolyzed keratin, Panthenol, Cyclopentasiloxane, Dimethiconol, Polyquaternium-10, PEG-150 distearate, Dicaprylyl ether, Decyl gucoside, Glyceryl oleate, Phenoxyethanol, Methylchloroisothiazolinone, Methylisothiazolinone, Citric acid, Polyquaternium-7, Magnesium chloride, Caprylyl glycol, Potassium sorbate, Benzoic acid, Magnesium nitrate, Isopropyl alcohol, Ethylhexylglycerin, Sodium acetate, Sodium benzoate, Sodium cocoyl glutamate, Leuconostoc/radish root ferment filtrate, Cyclohexasiloxane, Cyclotetrasiloxane, Benzyl benzoate, Limonene



...read more
...read less

"
Intents Sculpt,"



		Product details
		



Damaged, dehydrated hair? Try NEW Elvive Hydra Hyaluronic Moisture Boosting Shampoo with Hyaluronic Acid, from L’Oreal Paris. The formula, infused with Hyaluronic Acid, weightlessly coats hair to keep it feeling hydrated for up to 72 hours. The results? Hair looks visibly plumped, bouncy and shiny. 
Our scientifically proven skincare inspired formula helps tackle dehydrated, dry and damaged hair, the first sign of hair damage. Indicators of hair dehydration include dull and lifeless hair that is frizzy and lacking in bounce. Elvive Hydra Hyaluronic shampoo helps boost & lift hair to add volume, body & shine. Nourishing and conditioning stressed, damaged hair. 
Suitable for all hair textures: curly, wavy, straight, and coloured hair etc.




How to use
Start by applying on damp hair, massage your scalp and rinse. For best results, complete the routine with the L’Oreal Paris Elvive Hydra Hyaluronic Moisture Locking Conditioner, the L’Oreal Paris Elvive 72H Moisture Wrapping Mask and finish off using the L’Oreal Paris Elvive Hydra Hyaluronic Moisture Plump Serum, enriched with a 2% care complex with Hyaluronic Acid. In case of contact with eyes, rinse them immediately and thoroughly.



Ingredients
AQUA / WATER • SODIUM LAURETH SULFATE • GLYCOL DISTEARATE • SODIUM CHLORIDE • COCAMIDOPROPYL BETAINE • DIMETHICONE • CI 60730 / EXT. VIOLET2 • GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE • COCAMIDE MEA • COCO-BETAINE • SODIUM BENZOATE • SODIUM HYDROXIDE • SODIUM HYALURONATE • PHENOXYETHANOL •STEARETH-6 • ACETIC ACID • PEG-100 STEARATE• TRIDECETH-10 • TRIDECETH-3 • SALICYLIC ACID • FUMARIC ACID • AMODIMETHICONE • CARBOMER • CITRIC ACID • HEXYLENE GLYCOL • PARFUM / FRAGRANCE.



...read more
...read less

"
Intents Shine,"



		Product details
		



Umberto Giannini Scalp Restore Scalp Reviving Anti-Dandruff ShampooDry, flaky, itchy scalp? Show your scalp some love with Scalp Restore! This anti-dandruff, scalp reviving shampoo is clinically proven* to remove dandruff, leaving you with a flake free + balanced scalp. As part of the Scalp Restore range, this product contains Pineapple Enzymes which has multiple benefits for your hair + scalp with a refreshing pineapple scent. Say goodbye to itchy scalps, this product will be your new go-to! Source of photo-nutrients to help keep hair heathy and strongRemoves bacteria and excess oilIncreases cell renewal Natural AntioxidantDecreases oil output at the scalp surfaceNon-irritatingDestroys fungus infection responsible for dandruffPrevents new dandruffWho’s it for: Those who suffer with dry, itchy, flaky scalps who need some TLC. Suitable for all hair types. Colour safe. What it is: A anti-dandruff and scalp reviving daily use shampoo. Free from Sulphates, Silicones and Parabens. Vegan & Cruelty Free                    *Piroctone olamine has been clinically proven to remove dandruff and leave a flake free scalp.




How to use
Apply to wet hair, massage into the scalp, then rinse. For maximum results use with Scalp Restore Conditioner and Scalp Scrub.



Hazards and Cautions
Avoid contact with eyes. If product gets into the eyes rinse well with water immediately  



Ingredients
""Aqua (Water)
Sodium C14-16 Olefin Sulfonate , Cocamidopropyl betaine , Sodium Methyl Cocoyl Taurate ,Sodium Lauroyl Sarcosinate , Parfum (Fragrance) , Sodium Benzoate Piroctone Olamine, Potassium Sorbate,
Polyquaternium-10 , Sodium Chloride , Polyquaternium-22 , Citric Acid Coconut Oil Glycereth-8 Esters,Sodium Hydroxide, Ananas Sativus (Pineapple) Extract, Bromelain , Lactobacillus Ferment,
Limonene ""




...read more
...read less

"
Intents Spike,"



		Product details
		



A complete scalp and hair regime to rebalance and stimulate sluggish scalps and kick-start healthy new growth. For longer, stronger hair. 




Suitable for
Suitable for all hair types and ages 



How to use
Massage Shampoo and rinse. Scrub can be used instead of Shampoo once a week, massage gently into the scalp and rinse. Smooth Conditioner through mid-lengths and ends and rinse. Mask can be used once a week, smooth through damp hair and rinse. Section hair and apply the Tonic evenly all over your scalp and gently massage into the roots. Apply before styling or overnight. To style, section towel dried, spray Wonder Blow Dry all over until saturated, comb through and blow dry. 



Hazards and Cautions
WARNING: Avoid contact with eyes. If product gets into the eyes rinse well with water immediately. If irritation occurs, discontinue use.



Ingredients
Aqua (Water), Polysorbate 20, Dipropylene Glycol, Propylene Glycol, Polysilicone-29 , Silicone Quaternium-18, Parfum (Fragrance), Glycerin, Caffeine, Citric Acid, Maris Sal (Sea Salt), Laminaria Digitata Extract , Pentylene Glycol, Trideceth-6, Coffea Arabica (Coffee) Seed Extract, Trideceth-12, Triticum Vulgare (Wheat) Bran Extract, Chondrus Crispus (Carrageen) Extract, Fucus Vesiculosus (Bladderwrack) Extract, Laminaria Japonica (Kelp) Extract, Sargassum Pallidum (Seaweed) Extract, 1,2-Hexanediol, Caprylyl Glycol , Pisum Sativum (Pea) Sprout Extract, Phenoxyethanol, Sodium Benzoate, Potassiu
Maris Sal (Sea Salt), Ammonium Laureth Sulfate, Aqua (Water), Sodium Lauroyl Sarcosinate, Polyquaternium-6, Parfum (Fragrance), Potassium Sorbate, Caffeine, Piroctone Olamine, Citric Acid, Maris Sal (Dead Sea Salt), Glycerin Coffea Arabica (Coffee) Seed Extract, Chondrus Crispus (Carrageenan) Extract, Coffea Robusta Seed Extract, Fucus Vesiculosus Extract, Laminaria Digitata Extract, Sodium Benzoate. 
(FOR FULL INGREDIENTS OF PRODUCTS, PLEASE SEE BACK OF EACH INDIVIDUAL PRODUCT) 




...read more
...read less

"
Intents Texturise,"



		Product details
		



Batiste Dry Shampoo Light & Blonde banishes oily roots and boosts body giving dull, lifeless hair the makeover it needs without any water.A hint of colour complements light and blonde hair tones and helps blend in root re-growth of coloured, tinted or bleached hair. A quick burst revitalises hair leaving it feeling clean and fresh. No need to worry about skipping a shampoo.




"
Intents Volumise,"



		Product details
		



Your hair, skin and particularly your scalp can take a beating from daily shampooing, making it vital to find a hair care product that cleanses gently, yet thoroughly. Simple Kind To Hair Gentle Care Shampoo is all that and more. Formulated with the perfect blend of ingredients, it not only cleanses and revives hair, but it is also suitable for daily use by people with sensitive scalps.
 
It will leave your hair healthy while bringing out its natural shine. Infused with moisture-loving pro-vitamin B5 and containing hair-loving ingredients such as chamomile oil and glycerin, our gently cleansing shampoo will restore and replenish your hair’s natural shine. Of course, it only contains Simple goodness and has no harsh chemicals that can upset your hair and scalp, as well as no artificial colour or perfume and no animal-derived ingredients.
 
Being dermatologically tested and approved, this gentle hair shampoo is tailor-made to use every day, even by those with sensitive skin. For best results: Lather up every day by gently massaging into hair scalp. Rinse thoroughly and repeat as necessary. Follow up with our Gentle Care Conditioner. Avoid contact with eyes; if contact occurs, rinse with water. For gentle cleansing you can trust, leave it to the sensitive skin experts. Smile, it's Simple.
 
Key Features:

Simple Kind To Hair Gentle Care Shampoo has the perfect blend of ingredients to help cleanse and revive hair
The kind to skin formula of this shampoo gently yet thoroughly cleanses, making it perfect even for sensitive scalps
Our gentle, cleansing shampoo is infused with pro-vitamin B5 to help ensure healthy, shiny hair
Formulated with hair-loving ingredients such as chamomile oil and glycerin, this gently cleansing shampoo is ideal for daily use
Our kind to skin shampoo contains no harsh chemicals that can upset your hair and scalp, no artificial colour or perfume and no animal-derived ingredients
As with all Simple skin care products, this hair care shampoo is dermatologically tested and approved





How to use
Lather up shampoo by gently massaging into wet hair and scalp. Rinse thoroughly and repeat as necessary. Follow with our Gentle Care Conditioner.


Hazards and Cautions
For external use only. Avoid contact with eyes.


Ingredients
Aqua, Sodium Laureth Sulfate, Cocamide DEA, Sodium Chloride, Panthenol, Glycerin, Anthemis Nobilis Flower Oil, Pelargonium Graveolens Flower Oil, Cocamidopropyl Betaine, Citric Acid, Sodium Benzoate, Disodium Laureth Sulfosuccinate, Dipropylene Glycol, Disodium EDTA, Pantolactone, Potassium Sorbate, Sodium Hydroxide, PPG-6.



...read more
...read less

"
James Lister Anti-Dandruff,"



		Product details
		



Defrizz, define and shine with this best selling wash day starter kit for waves, curls and coils, including the iconic Curl Jelly. For all waves, curls and coils.        
This kit contains: Curl Jelly Wash, Curl Jelly Care and Curl Jelly Scrunching Jelly 




Suitable for
Suitable for children and adults aged 3+



How to use
Massage Shampoo into scalp and rinse. Smooth conditioner through mid-lengths and ends and rinse. Apply Curl Jelly evenly and scrunch dry with diffuser or leave to air dry. 



Hazards and Cautions
Avoid contact with eyes. If product gets into the eyes rinse with warm water immediately. 



Ingredients
Curl Jelly Wash 
Aqua (Water), Sodium Cocoyl Methyl Isethionate, Cocamidopropyl Betaine, Glycerin, PEG-120 Methyl Glucose Dioleate Sodium Methyl Isethionate, Coconut Acid, Propylene Glycol, Quaternium-80, Parfum (Fragrance), Polyquaternium-10, Sodium Cocoate, Panthenol, Salicylic Acid, Disodium EDTA, Sodium Hydroxide, Sorbic Acid, Citric Acid, Coriandrum Sativum (Coriander) Fruit Oil, Lavandula Angustifolia (Lavender) Oil, Salvia Sclarea (Clary Sage) Oil, Cinnamonmum Zeylanicum (Cinnamom) Bark Oil, Cuminum Cyminum (Cumin) Seed Oil, Dipteryx Odorata (Tonka Beans) Beans Extract, Elettaria Cardamomum (Cardamon) Seed Oil, Mentha Piperita (Peppermint) Oil, Styrax Benzoin Gum, Vanilla Planifolia Seed, Tocopherol, Benzyl Alcohol, CI 17200 (Red No 33), CI 19140 (Yellow No.5) 
 
Curl Jelly Care 
Aqua (Water), Cetearyl Alcohol, Glycerin, Propylene Glycol, Behentrimonium Chloride, Hydroxyethylcellulose, Cetrimonium Chloride, Phenoxyethanol, Polyquaternium-37, Polyquaternium-11, Parfum (Fragrance), Sodium Benzoate, Citric Acid, Disodium EDTA, Coumarin, Alpha-isomethyl Ionone, Linalool, Coriandrum Sativum (Coriander) Fruit Oil, Lavandula Angustifolia (Lavender) Oil, Salvia Sclarea (Clary Sage) Oil, Ethylhexylglycerin, Cinnamonmum Zeylanicum (Cinnamom) Bark Oil, Cuminum Cyminum (Cumin) Seed Oil, Dipteryx Odorata (Tonka Beans) Beans Extract, Elettaria Cardamomum (Cardamon) Seed Oil, Mentha Piperita (Peppermint) Oil,  Styrax Benzoin Gum, Vanilla Planifolia Seed, CI 17200 (Red No 33), CI 19140 (Yellow No.5).
 
Curl Scrunching Jelly 
Aqua, Xanthan gum, Propylene glycol, Glycerin, Phenoxyethanol, Acrylates/palmeth-25 acrylate copolymer, PEG-40 hydrogenated castor oil, Polyquaternium-11, Sodium benzoate, Dipropylene glycol, Sodium methylparaben, Aminomethyl propanol, Parfum, Benzophenone-4, Coumarin, Alpha-isomethyl ionone, Linalool, CI 17200.





...read more
...read less

"
