product_description,category
"Say hello to aloe! Nature's gentle care. Our Eucalyptus + Potent Aloe formula is infused with real aloe, leaving your hair hydrated while balancing your scalp. Our sulfate-free shampoo nourishes dry hair, leaving it silky soft with increased manageability, suppleness, and shine. It's made with real botanicals that are certified by the Royal Botanic Gardens, Kew, a world-leading expert on plants. This dermatologist-tested shampoo is sulfate-free, paraben-free, colorant-free, pH-balanced, certified PETA cruelty-free, and gentle enough to use every day. Pair with Herbal Essences bio:renew Aloe + Eucalyptus Conditioner for the perfect sulfate-free shampoo and conditioner pairing. Feel good knowing this formula is packaged in recycled plastic, too. Discover the wonders of nature-selected by experts, blended by us.",natural
"New Nizoral® Psoriasis shampoo and conditioner for scalp psoriasis relieves and helps prevent the itching, redness, irritation, flaking and scaling of scalp psoriasis. Nizoral® Psoriasis contains maximum strength medicine to control your symptoms while leaving hair clean and conditioned. The special formula contains tea tree oil, green tea, and vitamins E, C, and B5 – plus it’s free of artificial fragrances, preservatives, and dyes that may irritate skin.",natural
"Clarify and nourish your hair with Aveeno Apple Cider Vinegar Shampoo. This nourishing shampoo helps promote a healthy scalp while cleansing and reinforcing shine. Great for oily, dull hair, the apple cider vinegar formula leaves hair feeling healthy, clean and shiny. Part of the Aveeno Scalp Soothing Haircare Collection, this shampoo contains oat as the first ingredient, which is known for its soothing and moisturizing properties. All Aveeno hair care products are made with balanced blends of wholesome ingredients and are free from sulfates, parabens and dyes. Aveeno is known for bringing the soothing and healing properties of nature to skin care and now offers nourishing care for your scalp and hair. We’re not only mindful of what goes into our formulations, but also of our impact on the world around us. To use, simply apply shampoo generously to wet hair, massage into a lather through to the ends, and then rinse the hair thoroughly. Follow with Aveeno Apple Cider Vinegar Conditioner for the optimal clarifying routine.",natural
"Get soft, silky hair with Suave Silk Protein Infusion Sleek and Smooth Shampoo. Infused with silk protein, this salon quality shampoo helps treat dry hair by nourishing dry locks from root to tip. This hair shampoo works by gently cleansing to leave your hair soft and full of shine. This shampoo for dry hair provides 48 hour frizz control, enhanced shine and salon smooth style. The QuenchLock Technology, in our Suave Silk Protein Infusion Sleek and Smooth Shampoo, works by delivering lightweight moisture to help make hair strong and reduce hair breakage. This system leaves hair smooth and healthy-looking. For healthy, hydrated hair, apply the shampoo for hair, with the conditioner, lather and rinse. This system leaves hair smooth and healthy looking. For best results, follow with Suave Silk Protein Infusion Sleek and Smooth Conditioner. At Suave, we have been helping America live beautifully since 1937. We believe everyone deserves access to beauty that sparks happiness for your hair, body, and soul. Since the 1940s, we have been developing safe, high quality ingredients designed to bring joy to you and your entire family as you use them every day. Whatever you and your families’ personal care needs, you can have complete confidence that Suave body and hair products will help you boost your mind, body and spirit while adhering to the highest global safety and quality standards Globally Suave does not test on animals and is Certified Cruelty free by PETA",artificial
"Make bath time a breeze with this tear-free formula that naturally cleans your babys sensitive skin and hair. Burts Bees Baby Shampoo and Wash is clinically shown to be gentle enough for everyday use and leaves a fresh, clean scent. This naturally foaming, non-irritating baby shampoo and wash is a plant-based formula containing soy proteins to leave your baby clean and smooth. Natural ingredients are formulated for babys delicate skin, so you can feel good after every wash. Plus, this natural baby wash is pediatrician tested and contains no phthalates, parabens, petrolatum or SLS. Pump this baby shampoo and wash into your hand, washcloth or directly into the bath. The perfect addition to any baby shower gift or new baby gift set, Burt's Bees Baby Shampoo and Wash is a new baby essential. Discover all the ways to nurture and protect your babys skin and hair naturally with Burts Bees Baby Bee.",natural
"Our creamy, lush repairing shampoo, blooms with a delicious fragrance of honey & propolis, bringing to life our wholesome care for damaged hair that strengthens and helps prevent split ends & breakage.* For best hair-strengthening and repairing results, use the full Whole Blends Honey Treasures System of shampoo, conditioner, and 10-in-1 leave-in treatment.",artificial
"Renergize your locks and invigorate your scalp with OGX Extra Strength Refreshing Scalp + Teatree Mint Shampoo. This nourishing shampoo features a lightweight formula designed to deeply cleanse hair with a burst of freshness and a long-lasting clean. Ideal for all moisture types, it's infused with tea tree oil and peppermint extract to help awaken the senses with a refreshing tingle, while witch hazel acts as a natural astringent to help remove buildup and nourish the scalp. This deep cleansing scalp shampoo also features a stimulating scent of sweet peppermint, iced vanilla and tea tree and leaves locks looking shiny and feeling soft. Paraben-free with sulfate-free surfactants, our scalp cleansing shampoo represents beauty, pure and simple. For best results and a minty fresh reset for your strands, use with Extra Strength Refreshing Scalp + Teatree Mint Conditioner and Scalp Treatment.",natural
"Long hair? Help seal split ends with Elvive Dream Lengths. Formulated with a cocktail of vitamins and fine castor oil, Elvive Dream Lengths strengthens hair's length. Dream Lengths Restoring Shampoo visibly repairs damage without weight down, Dream Lengths Super Detangler Conditioner instantly detangles to reduce breakage and Dream Lengths No Haircut Cream Leave In Conditioner helps seal split ends.",artificial
"Turn bath time into a breeze for your little ones. Suave Kids 3in1 Shampoo, Conditioner and Body Wash with 100% Natural Coconut Oil is a gentle, nourishing bath time essential that both parents and kids will love. Inspired by the wonders of nature, this 3-in-1 kids’ shampoo, conditioner and body wash is enriched with 100% natural coconut oil for a light and relaxing scent that calms kids and parents alike. With real, natural ingredients, this shampoo, conditioner and body wash is gentle on sensitive skin. No nasties! Keep things simple for your kids with a tear-free shampoo, conditioner and body wash that’s formulated without sulfates, parabens, silicones or dyes. Suave Kids 3-in-1 Shampoo, Conditioner and Body Wash is dermatologist-tested and tear-free for happy kids. If bath-time is a hassle in your home, our 3-in-1 gentle shampoo, conditioner and bodywash helps make it easier by packing three steps into one. Gently cleanse and soften hair and skin with just one pump, rather than three different kid’s bath products. To use: Wet hair and skin. Work into a creamy lather on hair/scalp and body. Rinse well. At Suave, we have been helping America live beautifully since 1937. We believe everyone deserves access to beauty that sparks happiness for your hair, body, and soul. Since the 1940s, we have been developing safe, high-quality ingredients designed to bring joy to you and your entire family as you use them every day. Whatever you and your family’s personal care needs, you can have complete confidence that Suave products will help you boost your mind, body, and spirit while adhering to the highest global safety and quality standards. Globally, Suave does not test on animals and is Certified Cruelty-free by PETA.",natural
"It doesn't take an expensive salon visit to revitalize color treated hair. To keep your color vibrant and long-lasting at home, use TRESemmé Revitalized Color Hair Shampoo to maintain your vibrant color. When you finally find the perfect shade, there's nothing worse than when it fades. But those dull days are over. Our TRESemmé Revitalized Color system, with Hibiscus Essence™, helps maintain color treated hair's vibrancy as it gently cleanses and conditions, leaving hair full of shine. The salon-level Pro Style Technology™ in this shampoo for color treated hair, made with amino acids and ceramide, makes hair 3x stronger, 3x more manageable, and resistant from breakage (vs. a non-conditioning shampoo). Make your hair the perfect canvas with this Revitalized Color Shampoo. How to use the Revitalized Color System: Step 1:Coat hair with a liberal amount of TRESemmé Revitalized Color Shampoo. Step 2: Gently massage the scalp and roots with fingertips to work into a lather. Step 3: Lightly squeeze the shampoo from roots to ends and rinse thoroughly. Step 4: Finish with TRESemmé Revitalized Color Conditioner and style with your favorite TRESemmé styling aids as needed. This TRESemmé shampoo for colored hair is free from Parabens, Mineral Oil, and DMDM Hydantoin. We've always understood that style is more than a look, it's a powerful tool to help you achieve your dreams. With our professional quality care, a world of style possibilities is yours to achieve. Every choice we make at TRESemmé, from the values we promote-such as not testing on animals and being PETA-approved-to the carefully selected ingredients we use, are made to give you professional salon quality haircare products you can trust. Because 70 years on, we believe in the power of style. So tell your story, make your mark – and achieve your aspirations with confidence. With TRESemmé, you can DO IT WITH STYLE.",artificial
